name,company,title,country
Gabriela Tafur,Idilio TV,Founder and CEO,
Gachi Ciurluini,Canela Media,VP Content Strategy,USA
Gary Mitchell,C21Media,Sales Manager,
Gastón Gamarra,Caption Group,COO,
Gema Lopez,Universal Cinergia Dubbing,Director,
Geordy Gonzalez,SU-O1 Bilingual Newswire,Camera Operator,
George Lentz,Canela Media,Vice President Content Acquisitions,USA
Geraldine Gonard,Inside Content,CEO,España
Gerardo Brandy,Nippur Media,CEO,USA
Gerardo Diez,Sony Music Mexico,VP of Business Development,Mexico
Gerardo Rosillo,TelevisaUnivision & VIX,Content Acquisition Director USA & Latam,Mexico
GERARDO E DOMINGUEZ,Goldmine Pictures Releasing LLC,President,USA
Gina Gallegos Macias,Macias Group International LLC,Co-President of Operations,
Giovanni Oliveira,UNIFE México,Director de Programación,Mexico
Giulianna Brando,AFP Agence France-Presse,Gerente comercial,
GIYASETTIN EYYUPKOCA,ISTANBUL CHAMBER OF COMMERCE,EXECUTIVE BOARD MEMBER,
Gloria Saló,GECA,Director of Content and  Production Consultancy,Spain
Gonzalo Arias,"General director, GM Comunicación","Co-founder, Offline Sports",
Gonzalo Beren,Mercado Libre,Content Strategy and Acquisition Specialist,Argentina
Gonzalo Claiman-Versini,Diamond Films Spain,CEO,
Gonzalo Larrea,Cventiuno,,
Gonzalo Sagardia,Onza,CEO,Spain
Gregorio González,Forastero Ventures,Managing Partner,USA
Gregory Brough,Candlelight Media Group / SparkTv,CEO,USA
Guadalupe D'agostino,WE,Sales,
Guillermo Franco,Multimedios,COO,Mexico
Guillermo Sierra,HITN TV,Head of Television and Digital Services of HITN,USA
Guillermo Paulo Pendino,Paramount,VP Programing & Content of Telefe and Chilevision,Argentina
Gunther Kaempfe,Blackstar Content,Productor Ejecutivo,
Gustavo Aparicio,Spanglish Movies LLC,CEO,USA
Gustavo Castro,Zylo,Content Acquisition Director,Argentina
Gustavo Grossman,Venevision Media,,Venezuela
Gustavo Scaglione,Telefe,President,
HALIL ASLAN,ISTANBUL CHAMBER OF COMMERCE,DEPUTY SECRETARY GENERAL,
Hannah Mabruk,NBCUniversal International Studios,SVP Format Sales & Production,
Harvey Grisalez,Onza Américas,SVP de Desarrollo y Producción,USA
Hector Abadie,FILMEX,PRODUCCION Y PROGRAMACION,
HÉCTOR BERMÚDEZ,SUN CHANNEL-LAEMG Latin American Entertainment Media Group,PRESIDENTE EJECUTIVO,
Henri Ringel,The Walt Disney Company Latin America,"VP, Acquisitions and Content Sales Latam",USA
Hernan Lopez,Owl & Co,Founder,
Hernan Pantaleon,Hernan Pantaleon Abogados,Founder,Argentina
Hernan Pellegrini,Frame,CEO,
Hernán Caffiero,DeCulto,General director and showrunner,
Hernán Tchira,NAH! CONTENIDOS,Titular,
HORACIO ALCALA,The Aurora Project,Director,
Hordur Runarsson,ACT4,Executive Producer / Creator,
Hortensia Montesino,A&E Networks Latin America,Manager of Acquisition,USA
